Supplier,internal_company_code,Risk Type,Overall Risk Level,Transparency Level,FRDM Score,countries,Country Risk Level,industries,Industry Risk Level,products,Product Risk Level,Spend Amount,Spend Level,Product Regulation,Industry Regulation,tags,supplier_id,name,topline_risk_score,frdm_score,transparency_score,all_country_risk_score,all_industry_risk_score,purchase_risk,created_at,created_at,id,parent_id,portal_in_url,address,all_alerts_count,Documents,Trade Partner Risk Level,trade_partner_risk
VERTEX INTEGRATED SERVICES PTY LTD,"",human_rights,,Weak,,AUS,,Janitorial Services,,,Low,0.0,,,Australia MSA| CSRD| Data Breach Vulnerability| Dutch CLDD| EUFLR| LKSG,,858444,Cricket Australia,,,0.0,,,0.0,2025-12-04 23:43:20 UTC,2025-12-04 23:43:20 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=858444,,0,,,
Asics Oceania Pty Ltd,"",human_rights,Elevated,Moderate Weak,0,AUS| CHN,High,Apparel Accessories and Other Apparel Manufacturing| Cut and Sew Apparel Contractors| Other Apparel Knitting Mills| Other Cut and Sew Apparel Manufacturing,Elevated,Backpacks| Caps| Hats| Ladies Tshirt| Mens Tshirts| Sweaters| Tshirts| Umbrellas,Elevated,1000000.0,high,Deforestation| PFAS,CSDDD| PFAS| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,Apparel| Top50,88873,Cricket Australia,1.0,0,0.3,0.65231,1.0,0.8036910860396554,2020-11-23 18:59:33 UTC,2021-10-19 18:44:16 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=88873,"6 DARLING ST, MARSDEN PARK NSW 2765, SYDNEY, AUSTRALIA, AU| 6 DARLING ST, MARSDEN PARK NSW 2765, SYDNEY AUSTRALIA, SYDNEY AUSTRALIA, AUSTRAL, AU| 6 DARLING STREET, MARSDEN PARK 2765, AUSTRALIA, AU| DARLING STREET, MARSDEN PARK,6, MARSDEN PARK 2765 N S W, AUSTRAL, AU| New South Wales, 2765",0,,Low,0.0
R.M. WILLIAMS PTY LTD,,human_rights,Elevated,Moderate Weak,0,AUS| CHN,High,Apparel Accessories and Other Apparel Manufacturing| Cut and Sew Apparel Contractors| Other Apparel Knitting Mills| Other Cut and Sew Apparel Manufacturing,Elevated,Boots| Mens Shirts| Mens slacks or trousers or shorts| Womens shirts or blouses| Womens slacks or trousers or shorts,Elevated,11638.0,,Conflict Mineral| PFAS,CSDDD| PFAS| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,Apparel,261661,Cricket Australia,1.0,0,0.3,0.65231,1.0,0.8969266953769145,2021-08-17 20:40:17 UTC,2021-10-19 18:47:41 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=261661,"121 FROST ROAD, SALISBURY, SOUTH AUSTRALIA 5108, AUSTRALIA| Bdo Auckland, Level 8, 120 Albert Street, Auckland, NZ, 1040| FROST ROAD SALISBURY SOUTH AUSTRALIA 5108",0,,Low,0.0
TLA Merchandise Pty Ltd,,human_rights,Elevated,Moderate Weak,40,AUS| CHN,High,"Commercial Printing (Except Screen and Books)| Doll, Toy, and Game Manufacturing",Elevated,Playing cards,Moderate,720.0,,Deforestation,Conflict Mineral| Deforestation| PFAS| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain,Promotions / Event Management,309799,Cricket Australia,1.0,40,0.29600000000000004,0.65231,1.0,0.4275204442341265,2021-10-19 18:48:24 UTC,2021-10-19 18:48:25 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=309799,"Victoria, 3121| Victoria, 3122",0,,Moderate,0.5437062937062938
The University of Queensland,,human_rights,Elevated,Moderate Weak,43,AUS,Low,Management Consulting Services | Marketing Research and Public Opinion Polling| Other Management Consulting Services,Low,Academic sponsorship| Management Advisory Services| Marketing Analysis| Market Research| Strategic Planning Consultation Services,Low Moderate,4850.0,,Conflict Mineral,Data Breach High Incident,Research,32211,Cricket Australia,1.0,43,0.29200000000000004,0.09444,0.01,0.24865931602403962,2020-03-21 21:04:15 UTC,2021-10-19 19:36:50 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=32211,"805 15TH ST NW, Suite 610, WASHINGTON, District of Columbia, 20005| LEVEL 4 GENERAL PURPOSE STH BLD 78| LEVEL 4 GENERAL PURPOSE STH BLD 78 BRISBANE QLD 4072, AUS",0,,Low,0.08536585365853658
Gabba Sporting Products Pty Ltd,"",human_rights,Elevated,Moderate Weak,38,AUS| CHN,High,All Other Specialty Trade Contractors| Other Fabricated Wire Product Manufacturing,High,Nonresidential Building Construction Services| Quantity Surveying Service,Moderate,21000.0,low,,CSDDD| CSRD| Dutch CLDD| EUFLR| LKSG| Water Pollution Direct| Water Pollution Supply Chain,Capital,310059,Cricket Australia,1.0,38,0.336,0.65231,0.68804,0.5267794770916341,2021-10-19 20:18:13 UTC,2021-10-19 20:18:14 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=310059,"31 LONDOR CLOSE, HEMMANT QLD 4174 AUSTRALIA| 32 LONDOR CLOSE, HEMMANT QLD 4174, AUSTRALIA",0,,Low,0.16319444444444445
Mahoneys Framing,,human_rights,Elevated,Moderate Weak,30,AUS| CHN,High,All Other General Merchandise Stores| All Other Specialty Trade Contractors,Elevated,,,1905.0,,,CSRD| Dutch CLDD| EUFLR| LKSG,Prizes / Trophies,310064,Cricket Australia,1.0,30,0.248,0.65231,0.86112,,2021-10-19 20:20:25 UTC,2021-10-19 20:20:26 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=310064,"4 Catherine road, Salem, NH, 03079, USA",0,,Moderate High,0.625
Sport Entertainment Products Pty Ltd,,human_rights,Elevated,Moderate Weak,24,AUS| CHN| IND,High,"Gift, Novelty, and Souvenir Stores",Low,Hats| Mens Shirts| Mens slacks or trousers or shorts| Tshirts| Womens shirts or blouses,Elevated,125.0,,Conflict Mineral| PFAS,,Merchandise,310065,Cricket Australia,1.0,24,0.336,0.65231,0.01,0.9326242005844974,2021-10-19 20:20:38 UTC,2021-10-19 20:20:39 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=310065,"Lô 39A, 50B, 38B, 39B Khu Công Nghiệp Long Giang, Xã Tân Lập 1, Huyện Tân Phước, Tỉnh Tiền Giang| Lô 39A,50B,38B,39B Khu Công Nghiệp Long Giang, Xã Tân Lập 1, Huyện Tân Phước, Tỉnh Tiền Giang , 84| Lô 39A, 50B Khu Công Nghiệp Long Giang, Xã Tân Lập 1, Huyện Tân Phước, Tỉnh Tiền Giang",0,,Low,0.08304473304473306
Sony Australia Limited,"",human_rights,Elevated,Moderate Weak,33,AUS,Low,Software Publishers,Low,Software,Moderate,1385000.0,high,,Data Breach High Incident| Political Risk Liability| Water Quantity Supply Chain,Software Licenses & Subscriptions| Top50,310086,Cricket Australia,1.0,33,0.336,0.09444,0.01,0.5818258466135467,2021-10-19 20:30:34 UTC,2021-10-19 20:30:35 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=310086,"33-39 TALAVERA RD, Sydney, AU, 2113| LEVEL 7 , 73 MILLER STREET , NORTH SYDNEY , AUSTRALIA NSW 2060 , AU| New South Wales, 2060| NORTH RYDE, Australia",0,,Low,0.103125
Microway,,human_rights,Elevated,Moderate Weak,20,AUS,Low,Software Publishers,Low,Software,Moderate,9839.0,,,Data Breach High Incident| Political Risk Liability| Water Quantity Supply Chain,Software Licenses & Subscriptions,16731,Cricket Australia,1.0,20,0.31200000000000006,0.09444,0.01,0.5818258466135467,2020-02-29 15:21:27 UTC,2021-10-19 20:31:26 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=16731,"1200 AIR WAY, GLENDALE, CA, 912012405, USA| 1211 AIR WAY GLENDALE CA 91201 U S A US| AIR WAY GLENDALE CA 91201| AIR WAY GLENDALE GLENDALE 91201| UNIT 1 16 TARNARD DRIVE| UNIT 1 16 TARNARD DRIVE BRAESIDE VIC 3195, AUS| Unit 1 16 Tarnard Drive Unit 1 16 Tarnard Drive BRAESIDE VIC 3195| Victoria, 3195",0,,,
Masuri Australia Pty Ltd,,human_rights,Elevated,Moderate Weak,0,AUS| CHN| GBR| IND,High,Apparel Accessories and Other Apparel Manufacturing| Cut and Sew Apparel Contractors| Other Apparel Knitting Mills| Other Cut and Sew Apparel Manufacturing,Elevated,,,19461.0,,,CSDDD| PFAS| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,Various Apparel & Equipment,88879,Cricket Australia,1.0,0,0.3,0.65231,1.0,,2020-11-23 19:39:21 UTC,2021-10-19 21:04:09 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=88879,"5 GOODYEAR DR, AU, 3074| 5 Goodyear Drive Thomastown, Victoria, 3074 Australia| Victoria, 3074",0,,Moderate,0.5874125874125874
Assa Abloy Entrance Sys Aust,"",human_rights,Elevated,Moderate Weak,38,AUS| CHN,High,Locksmiths| Other Services to Buildings and Dwellings| Security Systems Services (Except Locksmiths),Low,Locks and security hardware and accessories| Locksmith Services,Low Moderate,500.0,low,Conflict Mineral,Conflict Mineral| Data Breach Vulnerability,Maintenance,8965,Cricket Australia,1.0,38,0.256,0.65231,0.01,0.35920011743751745,2020-02-29 11:32:22 UTC,2021-10-19 21:15:13 UTC,57,0,https://app.frdm.co/supplier_link/signin?linked_company_id=57&supplier_id=8965,"300 HORIZON CTR 302 HAMILTON NJ 08691| 380 TORRENS ROAD| 380 TORRENS ROAD | 380 TORRENS ROAD KILKENNY SA 5009, AUS| Victoria, 3173",0,,Moderate,0.5
