Company Name,Grade,Page
(SAMOA) FLOURISH THRIVE DEVELOPMENTS LIMITED TAIWAN BRANCH,C,1
(Sichuan) Tianqi Lithium Corporation,B,1
1&1 AG,C,1
1000mercis SA (holding of Numberly),B,1
"11 11 Systems, Inc.",C,1
3i Group,D,1
3M Company,D,1
"77BANK, LTD., THE",C,1
A Raymond Et Compagnie,B,1
A&A Material Corporation,D,1
"A&D HOLON Holdings Company, Limited",D,1
"A&H International Cosmetics Co., Ltd.",B,1
A. GRINGS SA,B,1
"A.D.Works Group Co.,Ltd.",B,1
A.E. RODDA & SON LIMITED,B,1
A.G. Barr Plc,B,2
A.P. Moller - Maersk,A,2
"A10 Networks, Inc.",D,2
A2A,A-,2
AAC Technologies Holdings,C,2
AAK AB,C,2
Aalberts N.V.,C,2
Aareal Bank AG,C,2
Aarti Industries Ltd,A,2
AARTI PHARMALAB,B-,2
Aasted ApS,B,2
AB Ignitis grupė,C,2
ABA Chemicals Corporation,B,2
ABB,A,2
Abbott Laboratories,B,2
AbbVie Inc,B,3
ABDI IBRAHIM ILAC SANAYI VE TICARET ANONIM SIRKETI,A,3
ABEAM CONSULTING LTD.,B,3
Abercrombie & Fitch Co.,B,3
Abertis Infraestructuras,A-,3
Ability Enterprise Co Ltd,D,3
ABM INDUSTRIES INC,C,3
ABM INVESTAMA TBK PT,C,3
ABN Amro Bank N.V,C,3
About You,A-,3
abrdn,C,3
Absa Group Limited,B,3
Abu Dhabi Commercial Bank,C,3
Abu Dhabi National Energy Company (TAQA),B,3
Acbel Polytech Inc,A,3
A.G. Barr Plc,B,4
A.P. Moller - Maersk,A,4
"A10 Networks, Inc.",D,4
A2A,A-,4
AAC Technologies Holdings,C,4
AAK AB,C,4
Aalberts N.V.,C,4
Aareal Bank AG,C,4
Aarti Industries Ltd,A,4
AARTI PHARMALAB,B-,4
Aasted ApS,B,4
AB Ignitis grupė,C,4
ABA Chemicals Corporation,B,4
ABB,A,4
Abbott Laboratories,B,4
Ackermans & van Haaren,B,5
Aço Verde do Brasil,B,5
ACOLAD,C,5
Actia Group,D,5
Activia Properties Inc,B,5
ACTUA FORMATION,D,5
Acuity Brands Inc,A,5
AD PLASTIK,C,5
ADANI ENERGY SOLUTIONS LIMITED,B,5
Adani Enterprises,A-,5
Adani Gas Ltd,B,5
Adani Green Energy Limited,D,5
Adani Ports & Special Economic Zone,A-,5
Adani Power Ltd,B,5
Adani Wilmar Limited,C,5
ACC,B,6
"Accelink Technologies Co., Ltd",C,6
Accenture,A,6
ACCIONA S.A.,A,6
Acco Brands,C,6
Accolade Inc,D-,6
Accor,C,6
Accton Technology Corp,B,6
ACEA SpA,B,6
ACEN Corporation,A-,6
ACERINOX,B,6
Aces,D,6
Achmea,C,6
ACI WORLDWIDE  LTD,D,6
Acinque SpA,B,6
Admiral Group,C,7
Adobe,B,7
ADP (Aeroports de Paris),A,7
ADT Security Services,C,7
ADTEC PLASMA TECHNOLOGY,D-,7
ADTRAN INC,B,7
Adval Tech Holding AG,B,7
Advance Auto Parts Inc,B,7
Advance Residence Investment Corporation,A,7
ADVANCED DRAINAGE SYSTEMS INC,C,7
Advanced Energy,C,7
Advanced Info Service Plc,B,7
Advanced International Multitech,B,7
"Advanced Micro Devices, Inc",B,7
Advanced Micro-Fabrication,C,7
Advanced Process Systems Corporation,D,8
"Advanced Technology & Materials Co., Ltd.",B,8
AdvanSix Inc,B,8
"Advantech Co, Ltd.",B,8
Advantest Corporation,B,8
AECI Ltd Ord,B,8
AECOM,A-,8
Aecon Group Inc.,C,8
Aedifica SA,D,8
Aegon Ltd,D,8
AEM HOLDINGS LTD,D,8
AENA SME SA,A-,8
"Aeon Co., Ltd.",A,8
"Aeon Mall Co., Ltd.",B,8
AEON REIT Investment Corporation,C,8
AerCap Holdings NV,D-,9
Aeris Energy SA,C,9
AeroSpace Technology of Korea Inc.,D,9
AES Brasil Energia S.A.,B,9
Aesa Automolas Equipamentos LTDA,C,9
AF Gruppen ASA,B,9
Affiliated Managers Group,D,9
AFLAC Incorporated,C,9
AFRY AB,B,9
AGASUS S/A,B,9
AGC Inc.,B,9
AGCO Corp.,B,9
Ageas SA/NV,B,9
Aggreko,B,9
Agilent Technologies Inc.,C,9
AGILITI,C,10
AGIS CONSTRUCAO SA,D-,10
AGL Energy,C,10
Agnico-Eagle Mines Limited,C,10
AGRANA Beteiligungs-AG,B,10
Aguas Andinas SA,A-,10
Ahlstrom Oyj,A-,10
Ahold Delhaize,A-,10
AHRESTY CORPORATION,B,10
"Ahwit Precision (Shanghai) Co.,Ltd.",B,10
AIA Engineering Ltd.,C,10
AIA Group Ltd,C,10
AIB Group Plc,B,10
Aica Kogyo Co Ltd,B,10
AICELLO CORPORATION,C,10
AICHI FINANCIAL GROUP,B,11
Aichi Steel Corporation,B,11
"AIDA ENGINEERING, LTD.",D,11
Ain Holdings Inc,B,11
"AIPHONE CO.,LTD.",B,11
Air Canada,C,11
Air France - KLM,B,11
Air Liquide,B,11
"Air Products & Chemicals, Inc.",B,11
Air Water Inc.,A-,11
Airbnb,B,11
AIRBOSS OF AMERICA CORP,C,11
Airbus SE,B,11
AirFirst,C,11
"Airspace Technologies, Inc.",C,11
AIRTAC INTERNATIONAL GROUP TAIWAN BRANCH (CAYMAN),B,12
"AIRTECH JAPAN,LTD.",C,12
AirTrunk Pty Limited,C,12
"Aisan Industry Co., Ltd.",B,12
Aisin Corporation,A,12
AIXTRON SE,C,12
"Ajin Industrial Co., Ltd.",C,12
"Ajinomoto Co., Inc.",A,12
AK Medical Holdings Limited,D,12
Akamai Technologies Inc,B,12
AKBANK T.A.Ş.,A,12
AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,A-,12
"AKEBONO BRAKE INDUSTRY CO., LTD.",C,12
AKENERJİ ELEKTRİK ÜRETİM A.Ş.,B,12
Aker BP ASA,B,12
Aker Solutions ASA,B,13
AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,B,13
AKFEN HOLDING ANONIM SIRKETI,B,13
AKFEN INSAAT TURIZM VE TICARET ANONIM SIRKETI,B,13
AKFEN YENİLENEBİLİR ENERJİ A.Ş.,B,13
AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,B,13
