Id,Name,Mandating body,Date of effect,Created at,Updated at,Formbricks question
220,Cradle to Cradle,,,2026-03-18 17:35:56 UTC,2026-03-18 17:35:56 UTC,
219,Energy Performance Building Standard,,,2026-03-18 17:12:25 UTC,2026-03-18 17:12:25 UTC,
218,Biodiversity Policy,,,2026-03-18 17:08:41 UTC,2026-03-18 17:08:41 UTC,
217,Greenguard,,,2026-03-18 16:48:36 UTC,2026-03-18 16:48:36 UTC,
184,GHG Goals,,,2026-02-11 18:27:39 UTC,2026-02-11 18:27:39 UTC,
151,Gender Pay Gap Report,,,2026-01-28 20:01:01 UTC,2026-01-28 20:01:01 UTC,
150,Other,,,2026-01-06 16:22:42 UTC,2026-01-06 16:22:42 UTC,
149,Annual Sustainability Report,,,2025-12-23 17:24:35 UTC,2025-12-23 17:24:35 UTC,
148,Annual Sustainability Report,,,2025-12-23 17:24:20 UTC,2025-12-23 17:24:20 UTC,
147,Sustainable Procurement Policy,,,2025-12-18 17:52:40 UTC,2025-12-18 17:52:40 UTC,
146,Sustainable Procurement Policy,,,2025-12-18 17:52:27 UTC,2025-12-18 17:52:27 UTC,
145,WRAP Compliance,,,2025-12-09 15:44:17 UTC,2025-12-09 15:44:17 UTC,
144,Other,,,2025-12-09 15:39:28 UTC,2025-12-09 15:39:28 UTC,
143,Human Rights Policy,,,2025-12-01 19:49:35 UTC,2025-12-01 19:49:35 UTC,
112,ISO 9000 family,,,2025-10-31 21:35:07 UTC,2025-10-31 21:35:07 UTC,
111,ISO 22000 family,,,2025-10-31 21:34:13 UTC,2025-10-31 21:34:13 UTC,
110,ISO 27000 family,,,2025-10-31 21:32:03 UTC,2025-10-31 21:32:03 UTC,
109,ISO 50001 family,,,2025-10-31 21:28:27 UTC,2025-10-31 21:28:27 UTC,
108,FSC Chain of Custody,,,2025-10-31 16:17:27 UTC,2025-10-31 16:17:27 UTC,
107,FSC Chain of Custody,,,2025-10-31 16:16:58 UTC,2025-10-31 16:16:58 UTC,
106,PEFC Chain of Custody,,,2025-10-31 16:15:42 UTC,2025-10-31 16:15:42 UTC,
105,Food Waste Policy,,,2025-10-30 16:40:01 UTC,2025-10-30 16:40:01 UTC,
104,Anti-Corruption Policy,,,2025-10-30 16:37:23 UTC,2025-10-30 16:37:23 UTC,
103,ISO 9001,,,2025-10-30 16:35:44 UTC,2025-10-30 16:35:44 UTC,
102,Deforestation Policy,,,2025-10-30 16:33:47 UTC,2025-10-30 16:33:47 UTC,
101,Deforestation Policy,,,2025-10-30 16:33:10 UTC,2025-10-30 16:33:10 UTC,
100,Sustainable Water Policy,,,2025-10-30 16:32:21 UTC,2025-10-30 16:32:21 UTC,
99,Environmental Stewardship Policy,,,2025-10-30 16:31:30 UTC,2025-10-30 16:31:30 UTC,
98,Social Responsibility Policy,,,2025-10-30 16:17:11 UTC,2025-11-13 18:43:13 UTC,a23b
65,GHG Inventory,,,2025-10-22 14:01:29 UTC,2025-10-22 14:01:29 UTC,
36,ISO 45001,,,2024-06-20 00:35:25 UTC,2024-06-20 00:35:25 UTC,
35,Health Policy,,,2024-06-20 00:35:24 UTC,2024-06-20 00:35:24 UTC,
34,"Diversity, Equity and Inclusion Policy",,,2024-06-20 00:35:23 UTC,2024-06-20 00:35:23 UTC,
33,ISO 14000,,,2024-06-20 00:35:21 UTC,2024-06-20 00:35:21 UTC,
32,Sustainable Development Goals,,,2024-06-20 00:35:20 UTC,2024-06-20 00:35:20 UTC,
31,Sustainability Audit,,,2024-02-14 11:49:07 UTC,2024-02-14 11:49:07 UTC,
30,Code of Conduct,,,2024-02-14 11:49:07 UTC,2024-02-14 11:49:07 UTC,
29,Industry Workplace Health & Safety,,,2024-02-14 11:47:58 UTC,2025-10-06 21:52:47 UTC,
28,Worker Discipline,,,2024-02-14 11:47:58 UTC,2024-02-14 11:47:58 UTC,
26,Code of Conduct,,,2022-11-21 00:00:00 UTC,2022-11-21 00:00:00 UTC,
25,Conflict Minerals Policy,,,2022-11-04 16:42:11 UTC,2022-11-04 16:42:11 UTC,
24,Responsible Sourcing Association Membership,,,2022-11-04 16:42:01 UTC,2022-11-04 16:42:01 UTC,
23,Ecovadis Rating,,,2022-11-04 16:41:48 UTC,2022-11-04 16:41:48 UTC,
22,Social Audit Report,,,2022-11-04 16:41:39 UTC,2022-11-04 16:41:39 UTC,
21,Sedex Membership,,,2022-11-04 16:41:28 UTC,2022-11-04 16:41:28 UTC,
