Supplier,internal_company_code,Risk Type,topline_risk_score,transparency_score,frdm_score,all_country_risk_score,all_industry_risk_score,purchase_risk,all_alerts_count,trade_partner_risk,Spend Amount,Spend Level,supplier_id,id,parent_id,created_at,created_at,Countries,Industries,Products,Product Regulations,Industry Regulations,Documents,Warnings
CROWN,0,human_rights,1.0,0.34800000000000003,42,0.65231,1.0,0.8642857142857144,0,0.2559840954274354,120645.0,,150540,52,0,2021-04-27 15:19:08 UTC,2021-04-27 16:04:25 UTC,CHN| MEX| MYS| USA,Industrial Machinery and Equipment Merchant Wholesalers| New Car Dealers,Motor vehicles,Conflict Mineral,Australia MSA| CBAM| Data Breach Vulnerability| EUBR| Water Pollution Supply Chain,,
POWER TECHNOLOGY INC,0,human_rights,1.0,0.22,32,0.65231,1.0,,0,0.19397614314115302,136447.0,,152483,52,0,2021-04-27 15:21:31 UTC,2021-04-27 16:07:49 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Relay and Industrial Control Manufacturing",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,Export Restrictions| Military Application Commodity
WEIMER BEARING & TRANSMISSION INC,0,human_rights,1.0,0.29600000000000004,40,0.65231,1.0,0.8781088971269694,0,0.4007692307692308,139132.0,,151807,52,0,2021-04-27 15:20:36 UTC,2021-04-27 16:06:38 UTC,CHN| IND| MEX| MYS| TWN| USA,All Other Miscellaneous Electrical Equipment and Component Manufacturing| Conveyor and Conveying Equipment Manufacturing| Industrial Machinery and Equipment Merchant Wholesalers,Electrical components,Conflict Mineral,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| UFLPA| UK MSA| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
ADVANCED TECHNOLOGY CORP,0,human_rights,1.0,0.24,32,0.4893,1.0,,0,0.22555205047318616,146458.0,,152467,52,0,2021-04-27 15:21:30 UTC,2021-04-27 16:07:47 UTC,IND| TWN| USA,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,,CBAM| Conflict Mineral| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
"EAST PENN MANUFACTURING CO., INC.",0,human_rights,1.0,0.21600000000000003,51,0.65231,1.0,,0,0.4868421052631579,148024.0,,150460,52,0,2021-04-27 15:19:03 UTC,2021-04-27 16:04:16 UTC,CHN| DEU| GBR| HKG| MEX| PHL| USA,Primary Battery Manufacturing| Surgical and Medical Instrument Manufacturing,,,Australia MSA| CBAM| Conflict Mineral| EUBR| PFAS| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
PACE CORPORATION,0,human_rights,1.0,0.21600000000000003,51,0.65231,1.0,,0,0.39331313131313156,163076.0,,151755,52,0,2021-04-27 15:20:32 UTC,2021-04-27 16:06:33 UTC,CHN| COL| HUN| USA,"All Other Specialty Trade Contractors| Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Painting and Wall Covering Contractors",,,CBAM| Conflict Mineral| CSRD| Data Breach Vulnerability| Dutch CLDD| EUBR| EUFLR| LKSG| PFAS,,
"HITACHI, LTD.",0,human_rights,1.0,0.30400000000000005,61,0.65231,0.8,0.46014211590550586,25,0.14906249999999996,218025.0,,150316,52,0,2021-04-27 15:18:52 UTC,2021-04-27 16:03:59 UTC,CHN| MEX| MYS| USA,Industrial Machinery and Equipment Merchant Wholesalers| Iron and Steel Forging,Building construction machinery and accessories,Conflict Mineral,Canada MSA| CBAM| CSDDD| CSRD| Data Breach Vulnerability| Dutch CLDD| EUBR| EUFLR| LKSG| Water Pollution Direct| Water Pollution Supply Chain,Conflict Minerals Policy,
FLODRAULIC GROUP INC,0,human_rights,1.0,0.26,43,0.65231,1.0,0.8781088971269694,0,,250816.0,,151626,52,0,2021-04-27 15:20:23 UTC,2021-04-27 16:06:19 UTC,CHN| COL| HUN| IND| TWN| USA,"All Other Miscellaneous Electrical Equipment and Component Manufacturing| Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Electrical components,Conflict Mineral,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,BIS Critical Minerals| Export Restrictions| Import Restrictions| Labor Dispute Activity| Military Application Commodity| Severe Tariff Measures| Subsidy Distortion| Tariff Escalation| Tariff Quota| Tariff Volatility| Trade Barriers| UFLPA Critical Minerals| US Department of Labor Product Watchlist
MICRONET,0,human_rights,1.0,0.26,61,0.65231,1.0,0.7744126984126986,0,0.38272727272727264,313864.0,,151568,52,0,2021-04-27 15:20:19 UTC,2021-04-27 16:06:13 UTC,CHN| JPN| USA,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers| Office Equipment Merchant Wholesalers,Office Equipment and Accessories and Supplies,Conflict Mineral| Deforestation,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR,,
SUN HYDRAULICS CORPORATION,0,human_rights,1.0,0.332,60,0.65231,0.8,1.0,0,0.35560975609756107,314441.0,,150212,52,0,2021-04-27 15:18:45 UTC,2021-04-27 16:03:48 UTC,CHN| ESP| IND| JPN| LUX| MEX| MYS| TUR| TWN| USA,Fluid Power Valve and Hose Fitting Manufacturing| Industrial Machinery and Equipment Merchant Wholesalers,Manufacture of machinery,,CBAM| CSDDD| Data Breach Vulnerability| EUBR| Water Pollution Direct| Water Pollution Supply Chain,,Export to State Owned Enterprise
